0.483871,0.434018,0.454545,0.363636,0.527859,0.395894,0.536657,0.542522,0.510264,0.533724,0.527859,0.395894,0.460411
0.519062,0.489736,0.378299,0.442815,0.530792,0.395894,0.551320,0.536657,0.545455,0.539589,0.551320,0.395894,0.495601
0.392962,0.381232,0.310850,0.434018,0.395894,0.489736,0.463343,0.454545,0.419355,0.460411,0.416422,0.495601,0.395894
0.413490,0.378299,0.369501,0.395894,0.428152,0.469208,0.472141,0.466276,0.436950,0.439883,0.519062,0.486804,0.513196
0.542522,0.363636,0.524927,0.542522,0.410557,0.521994,0.513196,0.533724,0.475073,0.495601,0.513196,0.521994,0.554252
0.568915,0.384164,0.498534,0.542522,0.422287,0.536657,0.521994,0.492669,0.475073,0.519062,0.524927,0.513196,0.565982
0.580994,0.508639,0.576674,0.553996,0.601512,0.595032,0.628510,0.613391,0.626350,0.623110,0.631749,0.470842,0.612311
0.592873,0.620950,0.587473,0.544276,0.613391,0.591793,0.626350,0.623110,0.626350,0.632829,0.638229,0.476242,0.602592
0.470842,0.467603,0.425486,0.570194,0.550756,0.603672,0.600432,0.588553,0.583153,0.577754,0.510799,0.602592,0.467603
0.530238,0.471922,0.551836,0.521598,0.591793,0.616631,0.619870,0.619870,0.612311,0.610151,0.617711,0.629590,0.610151
0.590713,0.455724,0.617711,0.605832,0.586393,0.640389,0.620950,0.605832,0.595032,0.600432,0.631749,0.633909,0.642549
0.601512,0.471922,0.630670,0.629590,0.559395,0.628510,0.601512,0.596112,0.589633,0.589633,0.631749,0.626350,0.634989
0.720000,0.794000,0.691333,0.551333,0.795333,0.794000,0.799333,0.792667,0.808000,0.806000,0.808000,0.794000,0.796000
0.771333,0.795333,0.664667,0.640667,0.780000,0.794000,0.806667,0.793333,0.803333,0.801333,0.800000,0.793333,0.794667
0.794000,0.792000,0.400667,0.575333,0.701333,0.794667,0.783333,0.787333,0.794000,0.786000,0.794000,0.794000,0.794000
0.794000,0.792667,0.438000,0.565333,0.724667,0.799333,0.792000,0.792667,0.794667,0.792667,0.794000,0.794000,0.794000
0.794000,0.784667,0.739333,0.719333,0.724667,0.802667,0.790667,0.796000,0.794667,0.780667,0.788667,0.773333,0.802000
0.794000,0.780000,0.703333,0.699333,0.713333,0.800667,0.786667,0.789333,0.782667,0.777333,0.786667,0.771333,0.798000
